day,price
24/4/21,10.64772482
24/4/21,9.915137405
24/4/21,10.48753946
24/4/21,9.392672034
24/4/21,9.432395344
24/4/21,18.46612
24/4/21,42.04864
24/4/21,47.42424
24/4/21,47.65454
24/4/21,45.85221
24/4/21,41.31456
24/4/21,39.86862
25/4/21,37.44508
25/4/21,35.43826
25/4/21,35.04369
25/4/21,34.77
25/4/21,35.30285
25/4/21,39.12925
25/4/21,39.8126
25/4/21,36.46263
25/4/21,25.9185
25/4/21,17.83138
25/4/21,10.20233029
25/4/21,10.05551655
25/4/21,10.70204017
25/4/21,10.63968693
25/4/21,9.71490716
25/4/21,12.75251
25/4/21,15.19268
25/4/21,32.14767
25/4/21,47.98422
25/4/21,47.95572
25/4/21,46.25677
25/4/21,44.1444
25/4/21,41.35769
25/4/21,35.90413
26/4/21,37.43
26/4/21,33.12661
26/4/21,32.68262
26/4/21,33.18472
26/4/21,36.75135
26/4/21,43.14709
26/4/21,46.31807
26/4/21,45.44347
26/4/21,41.91651
26/4/21,33.25707
26/4/21,28.97722
26/4/21,28.65129
26/4/21,24.08056
26/4/21,24.05734
26/4/21,23.00835
26/4/21,21.34226
26/4/21,23.52624
26/4/21,33.73937
26/4/21,44.43951
26/4/21,64.62232
26/4/21,61.70601
26/4/21,50.58528
26/4/21,44.47417
26/4/21,39.85552
27/4/21,37.09052
27/4/21,34.8645
27/4/21,33.97831
27/4/21,35.05346
27/4/21,38.33268
27/4/21,45.73983
27/4/21,49.57914
27/4/21,40.05728
27/4/21,30.85632
27/4/21,22.62291
27/4/21,17.2793
27/4/21,9.481285148
27/4/21,11.0389
27/4/21,10.74371421
27/4/21,14.09223
27/4/21,17.211
27/4/21,15.74003
27/4/21,24.16063
27/4/21,43.69141
27/4/21,51.83684
27/4/21,54.43096
27/4/21,49.7403
27/4/21,44.90313
27/4/21,41.72108
28/4/21,33.67929
28/4/21,32.61004
28/4/21,31.58949
28/4/21,33.40315
28/4/21,35.11979
28/4/21,41.75034
28/4/21,48.10327
28/4/21,37.49073
28/4/21,24.57426
28/4/21,17.51162
28/4/21,10.32039975
28/4/21,10.27553391
28/4/21,9.341668016
28/4/21,9.315024709
28/4/21,15.00303
28/4/21,20.23696
28/4/21,20.30187
28/4/21,27.41454
28/4/21,47.09589
28/4/21,54.73153
28/4/21,55.52281
28/4/21,48.87958
28/4/21,41.40767
28/4/21,38.30633
29/4/21,33.42283
29/4/21,32.58545
29/4/21,31.57727
29/4/21,31.9254
29/4/21,36.19389
29/4/21,40.87253
29/4/21,44.07606
29/4/21,35.34476
29/4/21,22.5202
29/4/21,15.88331
29/4/21,10.31426831
29/4/21,10.42198743
29/4/21,12.23139
29/4/21,18.35944
29/4/21,26.70567
29/4/21,30.83446
29/4/21,32.81094
29/4/21,35.9728
29/4/21,51.38285
29/4/21,70.54192
29/4/21,62.99517
29/4/21,48.44489
29/4/21,40.28121
29/4/21,34.4002
30/4/21,30.93693
30/4/21,31.6185
30/4/21,30.63189
30/4/21,30.92717
30/4/21,32.54037
30/4/21,37.23604
30/4/21,41.23952
30/4/21,31.06778
30/4/21,14.29196
30/4/21,10.38458106
30/4/21,10.15458675
30/4/21,11.20857427
30/4/21,13.54413
30/4/21,24.63372
30/4/21,28.72298
30/4/21,28.94838
30/4/21,31.41757
30/4/21,34.3822
30/4/21,48.59667
30/4/21,63.18867
30/4/21,54.60098
30/4/21,44.26189
30/4/21,34.54901
30/4/21,33.48448
1/5/21,32.63676
1/5/21,32.37644
1/5/21,31.57441
1/5/21,31.72888
1/5/21,32.2599
1/5/21,33.07565
1/5/21,34.28257
1/5/21,27.26429
1/5/21,19.25754
1/5/21,13.91825
1/5/21,11.10608925
1/5/21,9.787533399
1/5/21,9.95571296
1/5/21,11.35990307
1/5/21,12.50191082
1/5/21,9.612943453
